#k2v    kl   kv    input_file
  1     1     1    basis_files/basis_test00a/hist-basis_test00_l1cvv1cv1_hh4b.root
  0     1     1    basis_files/basis_test00a/hist-basis_test00_l1cvv0cv1_hh4b.root
  3/2   1     1    basis_files/basis_test00a/hist-basis_test00_l1cvv1p5cv1_hh4b.root
